en	ne_Np	PoS 	Remarks 
Apple 	स्याउ 	ना जा	
Apple 	Apple 	ना व्य	
Windows 	Windows 		
window	विन्डो	सन्झ्याल	
data	डाटा	लगत	
sheet	पाना		
Align Center	केन्द्रमा पङ्क्तिबद्ध गर्नुहोस्		
Align Left	बायाँमा पङ्‌क्तिबद्ध गर्नुहोस्		
Align Right	दायाँमा पङ्‌क्तिबद्ध गर्नुहोस्		
Bold	बाक्लो		
Italic	तेर्सो		
Default	पूर्वनिर्धारित		
release notes	जारीपत्रहरू		
untitled	शीर्षकरहित		
clone formatting	ढाँचा क्लोन गर्नुहोस्		
Insert Comment	टिप्पणी थप्नुहोस्		
Sort Descending	घट्दो क्रममा मिलाउनुहोस्		
Sort Ascending	बढ्दो क्रममा मिलाउनुहोस्		
Navigator	नेभिगेटर		
Track Changes	परिवर्तनहरू ट्रयाक गर्नुहोस्		
Macros	म्याक्रोहरू		
Theme	थिम		
cell	कक्ष		
group	समूह		
clipboard	क्लिपबोर्ड		
contribute	योगदान गर्नुहोस्		
toggle	टगल		
donate	दान		
get involved	संलग्न हुनुहोस्		
scrollbar	स्क्रोलबार		
redact	परिमार्जन		
solver	समाधानकर्ता		
goal seek	लक्ष्य खोज्नुहोस्		
spreadsheet	स्प्रेडसिट		
accent color	गाढा रङ		
